URL,Service Name,Number of Actions
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsaccountmanagement.html,account,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsactivate.html,activate,8
https://docs.aws.amazon.com/service-authorization/latest/reference/list_alexaforbusiness.html,a4b,96
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonmediaimport.html,mediaimport,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsamplify.html,amplify,37
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsamplifyadmin.html,amplifybackend,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsamplifyuibuilder.html,amplifyuibuilder,29
https://docs.aws.amazon.com/service-authorization/latest/reference/list_apachekafkaapisforamazonmskclusters.html,kafka-cluster,19
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonapigateway.html,execute-api,3
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonapigatewaymanagement.html,apigateway,9
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonapigatewaymanagementv2.html,apigateway,5
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappmesh.html,appmesh,39
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappmeshpreview.html,appmesh-preview,36
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapprunner.html,apprunner,42
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapp2container.html,a2c,4
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappconfig.html,appconfig,45
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappfabric.html,appfabric,26
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonappflow.html,appflow,31
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonappintegrations.html,app-integrations,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationautoscaling.html,application-autoscaling,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationcostprofilerservice.html,application-cost-profiler,6
https://docs.aws.amazon.com/service-authorization/latest/reference/list_applicationdiscoveryarsenal.html,arsenal,1
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationdiscoveryservice.html,discovery,29
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationmigrationservice.html,mgn,104
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsapplicationtransformationservice.html,application-transformation,14
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonappstream2.0.html,appstream,76
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsappsync.html,appsync,70
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsartifact.html,artifact,10
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonathena.html,athena,79
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsauditmanager.html,auditmanager,62
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsautoscaling.html,autoscaling-plans,6
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsb2bdatainterchange.html,b2bi,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbackup.html,backup,96
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbackupgateway.html,backup-gateway,27
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbackupstorage.html,backup-storage,15
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbatch.html,batch,24
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonbedrock.html,bedrock,84
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbilling.html,billing,13
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbillingandcostmanagementdataexports.html,bcm-data-exports,12
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbillingconductor.html,billingconductor,32
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbillingconsole.html,aws-portal,9
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonbraket.html,braket,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbudgetservice.html,budgets,10
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awsbugbust.html,bugbust,17
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscertificatemanager.html,acm,15
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awschatbot.html,chatbot,28
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonchime.html,chime,309
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscleanrooms.html,cleanrooms,62
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscleanroomsml.html,cleanrooms-ml,25
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudcontrolapi.html,cloudformation,8
https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonclouddirectory.html,clouddirectory,66
https://docs.aws.amazon.com/service-authorization/latest/reference/list_awscloudmap.html,servicediscovery,27
